,Unnamed: 0,claim_no,pmt_no,occurrence_period,occurrence_time,claim_size,notidel,setldel,payment_time,payment_period,payment_size,payment_inflated,payment_delay,noti_period,settle_period,development_period,is_settled,payment_size_cumulative,log1_paid_cumulative,train_ind,train_ind_time,cv_ind
0,1,1,1,1,0.734094301005825,232310.088224719,0.65809434160013,23.2149260620516,5.32635241891389,6,13226.3398289859,13226.3398289859,3.93416377630794,2,25,5,False,13226.3398289859,9.490041165764199,False,True,1
1,2,1,2,1,0.734094301005825,232310.088224719,0.65809434160013,23.2149260620516,10.0882911280002,11,15685.8585026047,15685.8585026047,4.76193870908627,2,25,10,False,28912.1983315906,10.27205345952395,False,True,1
2,3,1,3,1,0.734094301005825,232310.088224719,0.65809434160013,23.2149260620516,18.0219497078487,19,14643.2846078561,14643.2846078561,7.93365857984852,2,25,18,False,43555.4829394467,10.681813833186801,False,True,4
3,4,1,4,1,0.734094301005825,232310.088224719,0.65809434160013,23.2149260620516,22.8162549924741,23,170041.893329633,170041.893329633,4.79430528462541,2,25,22,False,213597.3762690797,12.271852784302766,False,True,3
5,6,2,1,1,0.333071983419359,237675.124401531,0.739145531607306,22.1491962898109,3.45645115149199,4,14014.0537763859,14014.0537763859,2.38423363646533,2,24,3,False,14014.0537763859,9.547887300650814,False,True,4
6,7,2,2,1,0.333071983419359,237675.124401531,0.739145531607306,22.1491962898109,6.33927346904473,7,14287.560868102,14287.560868102,2.88282231755273,2,24,6,False,28301.614644487898,10.250709469628202,False,True,2
7,8,2,3,1,0.333071983419359,237675.124401531,0.739145531607306,22.1491962898109,13.3716180315488,14,12934.4535420094,12934.4535420094,7.03234456250409,2,24,13,False,41236.0681864973,10.62709284410274,False,True,4
8,9,2,4,1,0.333071983419359,237675.124401531,0.739145531607306,22.1491962898109,19.758658548693,20,181930.074695223,181930.074695223,6.38704051714413,2,24,19,False,223166.14288172033,12.31567628934165,False,True,0
10,11,3,1,1,0.515063329832628,83559.5742285117,0.904297001888698,9.83219554634636,4.0463179893921,5,1470.37290226338,1470.37290226338,2.62695765767078,2,12,4,False,1470.37290226338,7.293951191033475,False,True,0
11,12,3,2,1,0.515063329832628,83559.5742285117,0.904297001888698,9.83219554634636,5.89426796686071,6,1886.78868764291,1886.78868764291,1.84794997746861,2,12,5,False,3357.16158990629,8.119148957357108,False,True,1
12,13,3,3,1,0.515063329832628,83559.5742285117,0.904297001888698,9.83219554634636,8.38705665869703,9,2188.79567165271,2188.79567165271,2.49278869183632,2,12,8,False,5545.9572615590005,8.621004815240804,False,True,4
13,14,3,4,1,0.515063329832628,83559.5742285117,0.904297001888698,9.83219554634636,9.72930424217682,10,2006.1273514934,2006.1273514934,1.34224758347979,2,12,9,False,7552.0846130524005,8.929711316826154,False,True,0
14,15,3,5,1,0.515063329832628,83559.5742285117,0.904297001888698,9.83219554634636,10.6331449370539,11,68871.7819886152,68871.7819886152,0.903840694877127,2,12,10,False,76423.8666016676,11.244063401277206,False,True,1
16,17,4,1,1,0.743974646320567,227599.310365716,0.419227607756658,16.911998989939,2.68899786028633,3,9886.19440214797,9886.19440214797,1.52579560620911,2,19,2,False,9886.19440214797,9.198995704103746,True,True,3
17,18,4,2,1,0.743974646320567,227599.310365716,0.419227607756658,16.911998989939,7.48247502728622,8,13057.8259784919,13057.8259784919,4.79347716699989,2,19,7,False,22944.02038063987,10.040856215067366,True,True,3
18,19,4,3,1,0.743974646320567,227599.310365716,0.419227607756658,16.911998989939,12.2455351229881,13,11704.1363992851,11704.1363992851,4.76306009570185,2,19,12,False,34648.15677992497,10.453028668966239,True,True,3
19,20,4,4,1,0.743974646320567,227599.310365716,0.419227607756658,16.911998989939,17.1588497816578,18,178428.93783954,178428.93783954,4.91331465866977,2,19,17,False,213077.09461946497,12.269414018900966,True,True,3
21,22,5,1,1,0.619159240042791,119227.153292604,1.64003136724264,7.71951786730017,4.30246933498186,5,5870.75907123202,5870.75907123202,2.04327872769643,3,10,4,False,5870.75907123202,8.677909539349056,True,True,0
